semantics_id,sentence_id,hanji,lomaji,mandarin
1012,46323,"""你有啥物不滿，做你講出來。""","""Lí ū siánn-mih put-buán, tsò lí kóng--tshut-lâi.""","""你有什麼不滿，儘管說出來。"""
1014,46324,"""有代誌不管時攏會使來揣我。""","""Ū tāi-tsì put-kuán-sî lóng ē-sái lâi tshuē--guá.""","""有事情隨時都能來找我。"""
1016,46325,"""伊有一筆冇數，到今猶收袂轉來。""","""I ū tsi̍t pit phànn-siàu, kàu-tann iáu siu bē tńg--lâi.""","""他有一筆呆帳，到現在還是收不回來。"""
1021,46326,"""你著細膩，毋通公親變事主。""","""Lí tio̍h sè-jī, m̄-thang kong-tshin piàn sū-tsú.""","""你要小心，免得調解間反而變成當事人。"""
1022,46327,"""乞食欲來分錢矣。""","""Khit-tsia̍h beh lâi pun-tsînn--ah.""","""乞丐要來要錢了。"""
1024,46328,"""林公館""","""Lîm kong-kuán""","""林宅"""
1027,46329,"""公館鄉""","""Kong-kuán-hiong""","""位於苗栗縣內"""
1033,46330,"""這頓飯逐家做伙分攤。""","""Tsit tǹg pn̄g ta̍k-ke tsò-hué hun-thuann.""","""這頓飯的飯錢大家一起均攤。"""
1034,46331,"""人的五臟六腑攏是真重要的。""","""Lâng ê ngóo-tsōng-lio̍k-hú lóng sī tsin tiōng-iàu--ê.""","""人的內臟是很重要的。"""
1035,46332,"""火化去矣！""","""Hué hua--khì--ah!""","""火熄滅了！也引申為表示「慘了、糟了、完蛋了」的感嘆詞。"""
1036,46333,"""阿公的病重甲強強欲化去矣！""","""A-kong ê pēnn tāng kah kiōng-kiōng beh hua--khì--ah!""","""爺爺的病嚴重到快要死了！"""
1037,46334,"""化痰""","""huà-thâm""","""化除痰液"""
1037,46335,"""火化""","""hué-huà""","""火化"""
1038,46336,"""大事化小事，小事化無事。""","""Tuā-sū huà sió-sū, sió-sū huà bô sū.""","""大事盡量化解成小事，小事盡量化解成沒事。"""
1039,46337,"""風雨快過，言語僫化。""","""Hong-hōo khuài kuè, giân-gí oh huà.""","""風雨很快就會過去，言語不當，很難消除。"""
1040,46338,"""一匹布""","""tsi̍t phit pòo""","""一匹布"""
1041,46339,"""單槍匹馬""","""Tan-tshiong-phit-má""","""單槍匹馬"""
1042,46340,"""一升米""","""tsi̍t tsin bí""","""一升米"""
1043,46341,"""米升""","""bí-tsin""","""升斗"""
1044,46342,"""升天""","""sing-thian""","""升天"""
1044,46343,"""升旗""","""sing-kî""","""升旗"""
